Date,Action
2022-05-12,BUY
2022-05-16,BUY
2022-05-27,BUY
2022-05-30,SELL
2022-06-06,SELL
2022-06-17,SELL
2022-06-20,BUY
2022-06-30,BUY
2022-07-04,SELL
2022-07-19,BUY
2022-08-01,BUY
2022-08-10,SELL
2022-08-26,BUY
2022-08-29,BUY
2022-09-05,BUY
2022-09-26,BUY
2022-10-03,BUY
2022-10-10,BUY
2022-10-26,BUY
2022-11-14,SELL
2022-11-21,SELL
2022-11-28,SELL
2022-12-05,SELL
2022-12-12,SELL
2023-01-04,SELL
2023-01-09,SELL
2023-01-16,SELL
2023-01-26,SELL
2023-01-30,SELL
2023-03-10,SELL
2023-03-14,BUY
2023-03-20,BUY
2023-04-18,SELL
