Date,Action
2022-05-10,SELL
2022-05-23,SELL
2022-05-30,SELL
2022-06-13,BUY
2022-06-20,BUY
2022-06-27,BUY
2022-07-04,BUY
2022-07-11,BUY
2022-07-19,BUY
2022-08-01,SELL
2022-08-17,SELL
2022-08-22,SELL
2022-09-07,BUY
2022-09-13,BUY
2022-09-21,BUY
2022-09-26,BUY
2022-10-03,BUY
2022-10-10,BUY
2022-10-17,BUY
2022-10-24,BUY
2022-10-31,BUY
2022-11-08,BUY
2022-12-05,SELL
2022-12-22,BUY
2022-12-28,SELL
2023-01-04,BUY
2023-01-10,SELL
2023-02-20,BUY
2023-02-28,BUY
2023-03-09,BUY
2023-03-28,SELL
2023-04-13,BUY
2023-04-18,SELL
2023-04-24,SELL
