Date,Open,High,Low,Close,Adj Close,Volume,SMA20,SMA100,RSI,RSI Buy Stock Flag,RSI Sell Stock Flag,SMA Buy Stock Flag,SMA Sell Stock Flag
2015-01-02,67.0,67.44999694824219,66.4000015258789,67.25,47.31465530395508,1649366,,,,False,False,False,False
2015-01-05,66.5,66.9000015258789,66.0,66.0999984741211,46.50555419921875,2155962,,,,False,False,False,False
2015-01-06,65.75,66.19999694824219,65.4000015258789,65.5,46.08342361450195,3623139,,,,False,False,False,False
2015-01-07,66.0,66.05000305175781,65.3499984741211,65.8499984741211,46.32966613769531,2347243,,,,False,False,False,False
2015-01-08,65.75,66.8499984741211,65.6500015258789,66.0999984741211,46.50555419921875,2053375,,,,False,False,False,False
2015-01-09,67.0,67.1500015258789,66.5999984741211,66.80000305175781,46.99805068969727,2613399,,,,False,False,False,False
2015-01-12,67.0999984741211,67.19999694824219,66.55000305175781,67.1500015258789,47.24429702758789,1566498,,,,False,False,False,False
2015-01-13,66.94999694824219,67.55000305175781,66.94999694824219,67.44999694824219,47.45536804199219,2397388,,,,False,False,False,False
2015-01-14,67.75,67.80000305175781,67.3499984741211,67.75,47.66643524169922,2890659,,,,False,False,False,False
2015-01-15,67.25,68.30000305175781,67.25,67.94999694824219,47.8071517944336,4173616,,,,False,False,False,False
2015-01-16,68.1500015258789,68.25,67.69999694824219,68.1500015258789,47.94785690307617,3232723,,,,False,False,False,False
2015-01-19,68.0,68.5,67.5,68.5,48.19410705566406,3832485,,,,False,False,False,False
2015-01-20,68.80000305175781,68.80000305175781,67.6500015258789,68.6500015258789,48.299652099609375,2804252,,,,False,False,False,False
2015-01-21,68.5999984741211,68.75,67.94999694824219,68.6500015258789,48.299652099609375,2345326,,,64.2857254072772,False,False,False,False
2015-01-22,69.0,69.0,67.75,68.3499984741211,48.08857727050781,2461992,,,60.5768990940102,False,False,False,False
2015-01-23,68.19999694824219,68.80000305175781,68.0999984741211,68.75,48.37000274658203,2143312,,,79.77526741428942,False,True,False,False
2015-01-26,69.0,69.0,68.25,69.0,48.54589080810547,1832658,,,92.68286328889683,False,False,False,False
2015-01-27,68.4000015258789,69.0,68.4000015258789,69.0,48.54589080810547,2119686,,,91.9999348959658,False,False,False,False
2015-01-28,69.0999984741211,69.19999694824219,68.69999694824219,69.1500015258789,48.65143585205078,2117715,,,91.78075892427897,False,False,False,False
2015-01-29,69.44999694824219,69.5,69.05000305175781,69.5,48.89767456054688,2913553,67.77999992370606,,90.9090068387055,False,False,False,False
2015-01-30,69.5,69.5999984741211,68.8499984741211,69.19999694824219,48.68659973144531,2270844,67.87749977111817,,81.53831707689238,False,False,False,False
2015-02-02,69.5,69.5,68.55000305175781,69.0,48.54589080810547,3203078,68.0224998474121,,74.60315153628918,False,False,False,False
2015-02-03,68.55000305175781,69.5,68.19999694824219,68.25,48.01823425292969,1751307,68.15999984741211,,56.94443267070742,False,False,False,False
2015-02-04,67.5,69.19999694824219,67.5,68.25,48.01823425292969,3735861,68.27999992370606,,54.41179770490479,False,False,False,False
2015-02-05,68.5,69.0,67.4000015258789,67.5,47.49054718017578,4607769,68.35,,41.77214211903773,False,False,False,False
2015-02-06,68.5999984741211,68.5999984741211,67.5999984741211,67.69999694824219,47.631256103515625,1555747,68.39499969482422,,39.47365250946646,False,False,False,False
2015-02-09,67.25,67.8499984741211,67.0999984741211,67.19999694824219,47.27947998046875,1365516,68.39749946594239,,32.53007175305038,False,False,False,False
2015-02-10,68.0,68.0,67.19999694824219,67.4000015258789,47.42018508911133,1633319,68.39499969482422,,35.632204067601606,False,False,False,False
2015-02-11,67.4000015258789,67.80000305175781,67.0999984741211,67.6500015258789,47.5960807800293,2513667,68.38999977111817,,41.86050637852416,False,False,False,False
2015-02-12,67.75,67.75,67.0,67.30000305175781,47.3498420715332,2039855,68.35750007629395,,32.941212373621326,False,False,False,False
2015-02-13,67.69999694824219,67.8499984741211,67.30000305175781,67.5,47.49054718017578,2081750,68.325,,32.142844167686945,False,False,False,False
2015-02-16,67.25,67.69999694824219,67.0,67.19999694824219,47.27947998046875,2352074,68.2599998474121,,29.999966091579864,True,False,False,False
2015-02-17,67.0,67.80000305175781,67.0,67.75,47.66643524169922,1954453,68.21499977111816,,35.714274592722816,False,False,False,False
2015-02-18,67.80000305175781,68.19999694824219,67.44999694824219,68.1500015258789,47.94785690307617,1239770,68.18999977111817,,36.36366438709817,False,False,False,False
2015-02-23,69.6500015258789,69.6500015258789,67.94999694824219,68.05000305175781,47.87751388549805,2447248,68.175,,37.89480108963816,False,False,False,False
2015-02-24,69.0,69.0,67.69999694824219,68.4000015258789,48.123756408691406,2355239,68.15750007629394,,43.87756849714988,False,False,False,False
2015-02-25,68.55000305175781,69.25,68.0,69.1500015258789,48.65143585205078,2531366,68.1650001525879,,59.183686179745365,False,False,False,False
2015-02-26,69.30000305175781,69.5,68.5999984741211,69.30000305175781,48.7569694519043,2531181,68.18000030517578,,60.396063536954955,False,False,False,False
2015-02-27,69.0999984741211,69.8499984741211,69.0999984741211,69.75,49.07356643676758,3260513,68.21000022888184,,73.68421052631578,False,True,False,False
2015-03-02,69.5,69.5,68.30000305175781,68.5,48.19410705566406,4743816,68.16000022888184,,56.896574403657894,False,False,False,False
2015-03-03,68.25,68.6500015258789,68.0,68.05000305175781,47.87751388549805,3266241,68.10250053405761,,57.391357421875,False,False,False,False
2015-03-04,68.05000305175781,68.44999694824219,67.5,67.6500015258789,47.5960807800293,2898092,68.03500061035156,,52.10084141365701,False,False,False,False
2015-03-05,67.4000015258789,68.0999984741211,67.4000015258789,67.69999694824219,47.631256103515625,2438710,68.00750045776367,,50.43474337999875,False,False,False,False
2015-03-06,67.30000305175781,67.5,67.0999984741211,67.19999694824219,47.27947998046875,4076165,67.95500030517579,,49.15248977142828,False,False,False,False
2015-03-09,66.94999694824219,67.0999984741211,66.5999984741211,66.75,46.96286392211914,3759771,67.91750030517578,,43.902432972911285,False,False,False,False
2015-03-10,66.75,67.19999694824219,66.75,67.0,47.13876724243164,3750171,67.88250045776367,,48.36067829171346,False,False,False,False
2015-03-11,66.0,66.30000305175781,65.4000015258789,65.55000305175781,46.81735229492188,3036847,67.80000076293945,,34.2857018295328,False,False,False,False
2015-03-12,66.19999694824219,66.19999694824219,64.25,64.55000305175781,46.1031494140625,3979583,67.65750083923339,,26.31574720547711,True,False,False,False
2015-03-13,64.75,65.3499984741211,64.44999694824219,65.0999984741211,46.49596405029297,2865031,67.53000068664551,,31.676945050216702,False,False,False,False
2015-03-16,64.9000015258789,65.75,64.75,65.55000305175781,46.81735229492188,2620339,67.4425006866455,,32.51531732249926,False,False,False,False
2015-03-17,66.0,66.0,65.1500015258789,65.55000305175781,46.81735229492188,2108763,67.34500083923339,,25.67564084455492,True,False,False,False
2015-03-18,65.5999984741211,65.9000015258789,65.1500015258789,65.69999694824219,46.924503326416016,2370226,67.2700008392334,,25.675564215974347,False,False,False,False
2015-03-19,66.0,66.25,65.5,66.1500015258789,47.24589920043945,2140927,67.19000091552735,,25.67564084455492,False,False,False,False
2015-03-20,66.0,66.4000015258789,65.25,65.5,46.78165817260742,3095803,67.0575008392334,,27.941136871583595,False,False,False,False
2015-03-23,65.9000015258789,66.1500015258789,65.69999694824219,66.0,47.13875961303711,1866436,66.9550006866455,,35.03645407543867,False,False,False,False
2015-03-24,65.80000305175781,66.8499984741211,65.69999694824219,66.75,47.67441940307617,3020960,66.87250061035157,,43.749980131755606,False,False,False,False
2015-03-25,67.0,67.0,66.3499984741211,66.9000015258789,47.78156661987305,2281013,66.76000061035157,,44.520575862879845,False,False,False,False
2015-03-26,66.4000015258789,67.0,66.4000015258789,66.94999694824219,47.8172721862793,2680843,66.64250030517579,,48.17518004281377,False,False,False,False
2015-03-27,67.0,67.05000305175781,66.44999694824219,67.0,47.85299301147461,1654687,66.50500030517578,,51.9379854130639,False,False,False,False
2015-03-30,66.5999984741211,67.5,66.5,66.9000015258789,47.78156661987305,2424059,66.42500038146973,,49.206360739833826,False,False,False,False
2015-03-31,66.55000305175781,67.94999694824219,66.55000305175781,67.75,48.38865280151367,4219278,66.41000022888184,,69.2982291764265,False,False,False,False
2015-04-01,67.75,67.75,65.80000305175781,66.0999984741211,47.21018600463867,5124936,66.33250007629394,,62.20469129780237,False,False,False,False
2015-04-02,65.80000305175781,66.0,65.3499984741211,65.44999694824219,46.74594879150391,5466245,66.22000007629394,,52.71316454049195,False,False,False,False
2015-04-08,66.1500015258789,66.80000305175781,65.6500015258789,66.75,47.67441940307617,5872846,66.19750022888184,,58.21915374373188,False,False,False,False
2015-04-09,66.5,67.94999694824219,66.05000305175781,67.6500015258789,48.31723403930664,6450577,66.24250030517578,,62.80486159634757,False,False,False,False
2015-04-10,68.0,68.3499984741211,67.5,68.19999694824219,48.71004486083984,4243587,66.3025001525879,,64.53487340536896,False,False,False,False
2015-04-13,68.5,68.5,67.4000015258789,68.1500015258789,48.6743392944336,3618909,66.43250007629395,,62.195126489825924,False,False,False,False
2015-04-14,68.5,68.5,67.80000305175781,68.44999694824219,48.88860702514648,3512580,66.62749977111817,,68.78981139337205,False,False,False,False
2015-04-15,69.0,69.0,68.1500015258789,68.30000305175781,48.78148651123047,5236598,66.7875,,65.3333848742368,False,False,False,False
2015-04-16,68.1500015258789,68.5,67.9000015258789,68.25,48.74578857421875,2700612,66.92249984741211,,61.0294315642082,False,False,False,False
2015-04-17,68.4000015258789,68.4000015258789,67.6500015258789,67.9000015258789,48.49578857421875,2373275,67.03999977111816,,57.142872713084,False,False,False,False
